reg,zona,pacto,partido,cupo,orden,nombre,nombre_full,edad,sexo,profesion,web,x,facebook,instagram,tiktok,texto,cargos,elecciones,tag,foto,id_foto,patrimonio
II,6003,I,PDG,PDG,74,Vilma Esquivel,Vilma de Lourdes Esquivel Céspedes,65,M,Administradora de Empresas,,,profile.php?id=61565398288656,vilmaesquivelcespedes,,Ex candidata a core por Antofagasta. Ha sido representante de la Asociación Gremial de Emprendedores de Mirador Alto La Portada.,x,2024;R;Antofagasta;X;PDG;1829;0.99,P,Y,5067,1505919
II,6003,I,PDG,PDG,75,Luis Ramos,Luis Andrés Ramos Bustos,40,H,,,,luis.ramos.bustos.pdg,luis_ramos_bustos,,Ha sido dos veces candidato a core por Antofagasta. Emprendedor y dirigente social.,x,2024;R;Antofagasta;X;PDG;4059;2.21|2021;R;Antofagasta;X;PDG;2310;1.99,P,Y,5068,1504711
II,6003,J,RN,RN,76,José Miguel Castro,José Miguel Castro Bascuñán,51,H,Médico Veterinario,,,diputadojmcastro,josemiguelcastrob,,"Diputado desde 2018 en Antofagasta, es presidente de la Cámara de Diputados desde 2025. Médico Veterinario de la U. Mayor, magíster en Gestión Ambiental.",2018-2025;D;3,2021;D;3;G;RN;8542;4.69|2017;D;3;G;RN;5183;3.19,R,Y,5069,1504738
II,6003,J,RN,RN,77,Daniela Castro,Daniela Andrea Castro Araya,39,M,Abogada,,,abogadaciudadana,danicastrodiputada,,"Ex candidata al Consejo Constitucional. Abogada de la U. Pedro de Valdivia, magíster en Derecho Público y en Derecho Medioambiental.",x,2023;J;Antofagasta;X;RN;16418;5.92,P,Y,5070,1505017
II,6003,J,DEM,DEM,78,Carolina Latorre,Carolina Paz Latorre Cruz,45,M,Abogada,www.carolinalatorre.cl,,CarolinaLatorreCruz,carolinalatorrecruz,,"Ex concejal de Calama, postuló como alcaldesa de la misma comuna. Vicepresidenta del Partido Demócratas. Abogada litigante de la U. Católica de Valparaíso, ha sido asesora de sindicatos.",2016-2021;C;Calama,2024;A;Calama;X;DEM;11788;12.66|2021;A;Calama;X;DC;6889;15.35|2016;C;Calama;G;DC;1221;3.95,P,Y,5071,1504775
II,6003,J,IND,DEM,79,José Véliz,José Luis Véliz Véliz,45,H,Ingeniero Civil en Metalurgia,josevelizdiputado.com,,,josevelizdiputado,,"Se ha desempeñado en el sector de la gran minería del cobre, hoy es consultor internacional. Ingeniero Civil Metalúrgico de la U. Arturo Prat, magíster en Dirección de Empresas.",x,x,N,Y,5072,1505480
II,6003,J,EVO,EVO,80,Jorge Olivares,Jorge Richard Olivares Puentes,54,H,Ingeniero Civil Industrial e Ingeniero Civil Informático,,,jorgerop10,jorgeolivarespuentes,,"Ex concejal de Calama en un período, fue candidato a alcalde en la comuna. Ingeniero Civil Industrial de la U. Arturo Prat, se ha desarrollado en la industria minera.",2016-2021;C;Calama,2021;A;Calama;X;IND;6738;15.01|2016;C;Calama;G;IND;694;2.25,P,Y,5073,1503460
II,6003,J,EVO,EVO,81,Yantiel Calderón,Yantiel Calderón Valenzuela,44,M,Periodista,,,yantiel,yantiel.calderon,,Presidenta regional de Evópoli en Antofagasta. Periodista de la U. Católica del Norte. Fe coordinadora provincial de Prodemu y se ha desarrollado como periodista en comunicación corporativa y relaciones públicas.,x,2021;D;3;X;EVO;1711;0.94,O,Y,5074,1505786
II,6003,K,PSC,PSC,82,Yovana Ahumada,Yovana Alejandra Ahumada Palma,52,M,Técnica Agropecuaria,,diputada_yovana,yovanahumadadiputada,diputadayovana_ahumada,,Actual diputada por Antofagasta. Técnica Agropecuaria de la U. de Magallanes.,2022-2025;D;3,2021;D;3;G;PDG;11892;6.53,R,Y,5075,1504468
II,6003,K,PSC,PSC,83,Carolina Moscoso,Carolina Judith Moscoso Carrasco,46,M,Psicóloga,,,carolina.j.carrasco.3,carolinamoscosoc,,"Ex core por Antofagasta, fue candidata a gobernadora por la región. Psicóloga de la U. Católica del Norte, magíster en Eduación.",2022-2024;R;Antofagasta,2024;G;Antofagasta;X;PSC;26261;8.12|2021;R;Antofagasta;G;PDG;6035;5.19,P,Y,5076,1504969
II,6003,K,PSC,PSC,84,Leslie Moll,Leslie Carolina Moll Vera,45,M,Psicopedagoga,,,leslie.moll.9,leslie_moll_contigo,,"Fundadora de la ONG Somos Infancia Chile. Psicopedagoga de la U. del Mar, magíster en Psicología Dinámica de la Personalidad y en Currículo y Evaluación.",x,2024;A;Calama;X;PSC;3773;4.05|2017;R;El Loa;X;IND;1747;3.77,P,Y,5077,1505692
